"GEOID","county","state","variable","estimate","total","casepercap"
"45001","Abbeville","South Carolina","pop",2100,972,46285.7142857143
"51001","Accomack","Virginia","pop",3200,1357,42406.25
"16001","Ada","Idaho","pop",24000,26209,109204.166666667
"19001","Adair","Iowa","pop",1700,444,26117.6470588235
"21001","Adair","Kentucky","pop",1800,990,55000
"29001","Adair","Missouri","pop",2700,1221,45222.2222222222
"40001","Adair","Oklahoma","pop",4300,1241,28860.4651162791
"08001","Adams","Colorado","pop",32500,30381,93480
"16003","Adams","Idaho","pop",650,113,17384.6153846154
"17001","Adams","Illinois","pop",7000,4901,70014.2857142857
"18001","Adams","Indiana","pop",3400,1846,54294.1176470588
"19003","Adams","Iowa","pop",950,171,18000
"28001","Adams","Mississippi","pop",2200,1447,65772.7272727273
"31001","Adams","Nebraska","pop",3800,1730,45526.3157894737
"38001","Adams","North Dakota","pop",450,177,39333.3333333333
"39001","Adams","Ohio","pop",2700,892,33037.037037037
"42001","Adams","Pennsylvania","pop",13500,2047,15162.962962963
"53001","Adams","Washington","pop",2000,1350,67500
"55001","Adams","Wisconsin","pop",4800,1138,23708.3333333333
"50001","Addison","Vermont","pop",7700,173,2246.75324675325
"45003","Aiken","South Carolina","pop",10000,6424,64240
"27001","Aitkin","Minnesota","pop",5200,788,15153.8461538462
"12001","Alachua","Florida","pop",17500,12911,73777.1428571429
"37001","Alamance","North Carolina","pop",14500,7249,49993.1034482759
"06001","Alameda","California","pop",127000,29993,23616.5354330709
"08003","Alamosa","Colorado","pop",1500,629,41933.3333333333
"36001","Albany","New York","pop",24000,5968,24866.6666666667
"56001","Albany","Wyoming","pop",3500,3120,89142.8571428571
"51003","Albemarle","Virginia","pop",8900,1921,21584.2696629213
"26001","Alcona","Michigan","pop",3100,198,6387.09677419355
"28003","Alcorn","Mississippi","pop",2600,1556,59846.1538461539
"17003","Alexander","Illinois","pop",900,265,29444.4444444444
"37003","Alexander","North Carolina","pop",2500,1663,66520
"40003","Alfalfa","Oklahoma","pop",1600,395,24687.5
"26003","Alger","Michigan","pop",1900,254,13368.4210526316
"19005","Allamakee","Iowa","pop",2100,850,40476.1904761905
"26005","Allegan","Michigan","pop",13000,4151,31930.7692307692
"24001","Allegany","Maryland","pop",7600,3366,44289.4736842105
"36003","Allegany","New York","pop",10000,1058,10580
"37005","Alleghany","North Carolina","pop",1100,397,36090.9090909091
"51005","Alleghany","Virginia","pop",1700,340,20000
"42003","Allegheny","Pennsylvania","pop",112000,29007,25899.1071428571
"18003","Allen","Indiana","pop",30000,19871,66236.6666666667
"20001","Allen","Kansas","pop",1900,374,19684.2105263158
"21003","Allen","Kentucky","pop",1800,738,41000
"39003","Allen","Ohio","pop",10000,5506,55060
"45005","Allendale","South Carolina","pop",700,447,63857.1428571429
"26007","Alpena","Michigan","pop",4300,719,16720.9302325581
"06003","Alpine","California","pop",300,41,13666.6666666667
"06005","Amador","California","pop",3300,558,16909.0909090909
"51007","Amelia","Virginia","pop",650,224,34461.5384615385
"51009","Amherst","Virginia","pop",2500,829,33160
"28005","Amite","Mississippi","pop",900,566,62888.8888888889
"20003","Anderson","Kansas","pop",1000,385,38500
"21005","Anderson","Kentucky","pop",1700,529,31117.6470588235
"45007","Anderson","South Carolina","pop",12500,8167,65336
"47001","Anderson","Tennessee","pop",5700,3167,55561.4035087719
"48001","Anderson","Texas","pop",4900,3190,65102.0408163265
"29003","Andrew","Missouri","pop",2400,831,34625
"48003","Andrews","Texas","pop",1100,1066,96909.0909090909
"23001","Androscoggin","Maine","pop",9000,1593,17700
"48005","Angelina","Texas","pop",5600,3696,66000
"24003","Anne Arundel","Maryland","pop",37000,16931,45759.4594594595
"27003","Anoka","Minnesota","pop",31500,22841,72511.1111111111
"37007","Anson","North Carolina","pop",2100,941,44809.5238095238
"31003","Antelope","Nebraska","pop",1700,337,19823.5294117647
"26009","Antrim","Michigan","pop",5200,475,9134.61538461538
"04001","Apache","Arizona","pop",11000,5492,49927.2727272727
"19007","Appanoose","Iowa","pop",2200,804,36545.4545454545
"13001","Appling","Georgia","pop",1400,1338,95571.4285714286
"51011","Appomattox","Virginia","pop",1300,407,31307.6923076923
"48007","Aransas","Texas","pop",1300,438,33692.3076923077
"08005","Arapahoe","Colorado","pop",51000,27932,54768.6274509804
"48009","Archer","Texas","pop",1400,260,18571.4285714286
"08007","Archuleta","Colorado","pop",1200,243,20250
"26011","Arenac","Michigan","pop",4700,459,9765.95744680851
"05001","Arkansas","Arkansas","pop",2000,973,48650
"51013","Arlington","Virginia","pop",16500,6334,38387.8787878788
"42005","Armstrong","Pennsylvania","pop",11500,1844,16034.7826086957
"48011","Armstrong","Texas","pop",400,53,13250
"23003","Aroostook","Maine","pop",12000,146,1216.66666666667
"31005","Arthur","Nebraska","pop",250,16,6400
"37009","Ashe","North Carolina","pop",2100,795,37857.1428571429
"39005","Ashland","Ohio","pop",5500,1288,23418.1818181818
"55003","Ashland","Wisconsin","pop",3600,707,19638.8888888889
"05003","Ashley","Arkansas","pop",1900,871,45842.1052631579
"39007","Ashtabula","Ohio","pop",9200,2630,28586.9565217391
"53003","Asotin","Washington","pop",1800,681,37833.3333333333
"48013","Atascosa","Texas","pop",2500,1503,60120
"20005","Atchison","Kansas","pop",1800,873,48500
"29005","Atchison","Missouri","pop",1400,214,15285.7142857143
"39009","Athens","Ohio","pop",6900,2129,30855.0724637681
"13003","Atkinson","Georgia","pop",800,606,75750
"34001","Atlantic","New Jersey","pop",20500,8136,39687.8048780488
"40005","Atoka","Oklahoma","pop",3500,858,24514.2857142857
"28007","Attala","Mississippi","pop",1500,1193,79533.3333333333
"29007","Audrain","Missouri","pop",2800,1364,48714.2857142857
"19009","Audubon","Iowa","pop",1300,301,23153.8461538462
"39011","Auglaize","Ohio","pop",5900,2554,43288.1355932203
"51015","Augusta","Virginia","pop",5000,1231,24620
"46003","Aurora","South Dakota","pop",900,360,40000
"48015","Austin","Texas","pop",2300,643,27956.5217391304
"01001","Autauga","Alabama","pop",3500,2818,80514.2857142857
"37011","Avery","North Carolina","pop",2100,977,46523.8095238095
"08009","Baca","Colorado","pop",900,107,11888.8888888889
"13005","Bacon","Georgia","pop",900,756,84000
"48017","Bailey","Texas","pop",350,476,136000
"12003","Baker","Florida","pop",1700,2046,120352.941176471
"13007","Baker","Georgia","pop",350,126,36000
"41001","Baker","Oregon","pop",2000,286,14300
"01003","Baldwin","Alabama","pop",11500,9051,78704.3478260869
"13009","Baldwin","Georgia","pop",2800,2676,95571.4285714286
"21007","Ballard","Kentucky","pop",1200,156,13000
"24005","Baltimore","Maryland","pop",64000,29670,46359.375
"45009","Bamberg","South Carolina","pop",1100,749,68090.9090909091
"48019","Bandera","Texas","pop",1300,237,18230.7692307692
"13011","Banks","Georgia","pop",1700,805,47352.9411764706
"31007","Banner","Nebraska","pop",200,16,8000
"16005","Bannock","Idaho","pop",7700,4562,59246.7532467533
"26013","Baraga","Michigan","pop",1900,489,25736.8421052632
"20007","Barber","Kansas","pop",1000,197,19700
"01005","Barbour","Alabama","pop",3000,1189,39633.3333333333
"54001","Barbour","West Virginia","pop",1500,441,29400
"38003","Barnes","North Dakota","pop",1900,1043,54894.7368421053
"25001","Barnstable","Massachusetts","pop",16500,3129,18963.6363636364
"45011","Barnwell","South Carolina","pop",1700,985,57941.1764705882
"21009","Barren","Kentucky","pop",3200,2069,64656.25
"55005","Barron","Wisconsin","pop",10500,3721,35438.0952380952
"13013","Barrow","Georgia","pop",6300,3532,56063.4920634921
"26015","Barry","Michigan","pop",6900,2249,32594.2028985507
"29009","Barry","Missouri","pop",3200,1472,46000
"18005","Bartholomew","Indiana","pop",6200,3634,58612.9032258065
"20009","Barton","Kansas","pop",2800,1706,60928.5714285714
"29011","Barton","Missouri","pop",1800,634,35222.2222222222
"13015","Bartow","Georgia","pop",5800,5296,91310.3448275862
"48021","Bastrop","Texas","pop",3800,2369,62342.1052631579
"29013","Bates","Missouri","pop",2800,555,19821.4285714286
"21011","Bath","Kentucky","pop",1300,283,21769.2307692308
"51017","Bath","Virginia","pop",200,65,32500
"05005","Baxter","Arkansas","pop",3500,1435,41000
"12005","Bay","Florida","pop",12500,8543,68344
"26017","Bay","Michigan","pop",10000,4599,45990
"55007","Bayfield","Wisconsin","pop",5200,703,13519.2307692308
"48023","Baylor","Texas","pop",300,54,18000
"46005","Beadle","South Dakota","pop",2200,2292,104181.818181818
"16007","Bear Lake","Idaho","pop",1200,194,16166.6666666667
"37013","Beaufort","North Carolina","pop",3800,1729,45500
"45013","Beaufort","South Carolina","pop",11500,7195,62565.2173913044
"40007","Beaver","Oklahoma","pop",1200,214,17833.3333333333
"42007","Beaver","Pennsylvania","pop",18500,4127,22308.1081081081
"49001","Beaver","Utah","pop",700,162,23142.8571428571
"30001","Beaverhead","Montana","pop",1300,577,44384.6153846154
"27005","Becker","Minnesota","pop",10000,2116,21160
"40009","Beckham","Oklahoma","pop",1600,1398,87375
"42009","Bedford","Pennsylvania","pop",10500,1601,15247.619047619
"47003","Bedford","Tennessee","pop",3200,2922,91312.5
"51019","Bedford","Virginia","pop",5500,1877,34127.2727272727
"48025","Bee","Texas","pop",2900,2058,70965.5172413793
"33001","Belknap","New Hampshire","pop",4600,775,16847.8260869565
"21013","Bell","Kentucky","pop",2100,1275,60714.2857142857
"48027","Bell","Texas","pop",20500,8752,42692.6829268293
"39013","Belmont","Ohio","pop",7300,1923,26342.4657534247
"27007","Beltrami","Minnesota","pop",8400,2235,26607.1428571429
"13017","Ben Hill","Georgia","pop",1200,1029,85750
"16009","Benewah","Idaho","pop",1800,287,15944.4444444444
"46007","Bennett","South Dakota","pop",700,314,44857.1428571429
"50003","Bennington","Vermont","pop",4700,215,4574.46808510638
"38005","Benson","North Dakota","pop",2100,779,37095.2380952381
"08011","Bent","Colorado","pop",1000,197,19700
"05007","Benton","Arkansas","pop",20000,12288,61440
"18007","Benton","Indiana","pop",1700,411,24176.4705882353
"19011","Benton","Iowa","pop",4500,1728,38400
"27009","Benton","Minnesota","pop",6900,3088,44753.6231884058
"28009","Benton","Mississippi","pop",750,500,66666.6666666667
"29015","Benton","Missouri","pop",1900,779,41000
"41003","Benton","Oregon","pop",7500,818,10906.6666666667
"47005","Benton","Tennessee","pop",1500,864,57600
"53005","Benton","Washington","pop",13000,8418,64753.8461538461
"26019","Benzie","Michigan","pop",3400,445,13088.2352941176
"34003","Bergen","New Jersey","pop",67000,35577,53100
"45015","Berkeley","South Carolina","pop",14500,7183,49537.9310344828
"54003","Berkeley","West Virginia","pop",6000,3374,56233.3333333333
"42011","Berks","Pennsylvania","pop",38500,14065,36532.4675324675
"25003","Berkshire","Massachusetts","pop",14000,1645,11750
"35001","Bernalillo","New Mexico","pop",43500,27678,63627.5862068965
"13019","Berrien","Georgia","pop",1700,746,43882.3529411765
"26021","Berrien","Michigan","pop",18500,6964,37643.2432432432
"37015","Bertie","North Carolina","pop",1800,905,50277.7777777778
"48029","Bexar","Texas","pop",117000,81638,69776.0683760684
"01007","Bibb","Alabama","pop",1500,1204,80266.6666666667
"13021","Bibb","Georgia","pop",11000,7753,70481.8181818182
"30003","Big Horn","Montana","pop",2200,1805,82045.4545454545
"56003","Big Horn","Wyoming","pop",1900,513,27000
"27011","Big Stone","Minnesota","pop",1500,328,21866.6666666667
"38007","Billings","North Dakota","pop",250,41,16400
"16011","Bingham","Idaho","pop",3500,2835,81000
"19013","Black Hawk","Iowa","pop",12500,11130,89040
"18009","Blackford","Indiana","pop",1400,612,43714.2857142857
"37017","Bladen","North Carolina","pop",2400,1353,56375
"16013","Blaine","Idaho","pop",1500,1297,86466.6666666667
"30005","Blaine","Montana","pop",1300,529,40692.3076923077
"31009","Blaine","Nebraska","pop",150,15,10000
"40011","Blaine","Oklahoma","pop",1700,414,24352.9411764706
"42013","Blair","Pennsylvania","pop",13500,4412,32681.4814814815
"48031","Blanco","Texas","pop",950,180,18947.3684210526
"51021","Bland","Virginia","pop",650,201,30923.0769230769
"13023","Bleckley","Georgia","pop",1100,719,65363.6363636364
"47007","Bledsoe","Tennessee","pop",1300,1194,91846.1538461538
"01009","Blount","Alabama","pop",5000,3061,61220
"47009","Blount","Tennessee","pop",9300,5863,63043.0107526882
"27013","Blue Earth","Minnesota","pop",11000,4213,38300
"16015","Boise","Idaho","pop",950,146,15368.4210526316
"28011","Bolivar","Mississippi","pop",3300,2443,74030.303030303
"29017","Bollinger","Missouri","pop",1400,807,57642.8571428571
"46009","Bon Homme","South Dakota","pop",1700,1366,80352.9411764706
"17005","Bond","Illinois","pop",2300,1086,47217.3913043478
"16017","Bonner","Idaho","pop",3700,1009,27270.2702702703
"16019","Bonneville","Idaho","pop",9300,7822,84107.5268817204
"05009","Boone","Arkansas","pop",3400,1831,53852.9411764706
"17007","Boone","Illinois","pop",3300,3998,121151.515151515
"18011","Boone","Indiana","pop",4800,2722,56708.3333333333
"19015","Boone","Iowa","pop",3200,1404,43875
"21015","Boone","Kentucky","pop",7800,4967,63679.4871794872
"29019","Boone","Missouri","pop",12000,10389,86575
"31011","Boone","Nebraska","pop",1400,328,23428.5714285714
"54005","Boone","West Virginia","pop",2000,663,33150
"48033","Borden","Texas","pop",150,5,3333.33333333333
"48035","Bosque","Texas","pop",2600,531,20423.0769230769
"51023","Botetourt","Virginia","pop",3000,784,26133.3333333333
"38009","Bottineau","North Dakota","pop",1500,554,36933.3333333333
"08013","Boulder","Colorado","pop",25000,11433,45732
"16021","Boundary","Idaho","pop",1000,363,36300
"20011","Bourbon","Kansas","pop",1700,564,33176.4705882353
"21017","Bourbon","Kentucky","pop",2000,581,29050
"48037","Bowie","Texas","pop",6700,2540,37910.447761194
"38011","Bowman","North Dakota","pop",700,188,26857.1428571429
"31013","Box Butte","Nebraska","pop",1100,649,59000
"49003","Box Elder","Utah","pop",7500,2299,30653.3333333333
"21019","Boyd","Kentucky","pop",4000,1803,45075
"31015","Boyd","Nebraska","pop",750,138,18400
"21021","Boyle","Kentucky","pop",3100,1027,33129.0322580645
"21023","Bracken","Kentucky","pop",1200,161,13416.6666666667
"12007","Bradford","Florida","pop",2100,1417,67476.1904761905
"42015","Bradford","Pennsylvania","pop",12500,1922,15376
"05011","Bradley","Arkansas","pop",1100,516,46909.0909090909
"47011","Bradley","Tennessee","pop",6700,5583,83328.3582089552
"26023","Branch","Michigan","pop",7300,3158,43260.2739726027
"13025","Brantley","Georgia","pop",950,799,84105.2631578947
"54007","Braxton","West Virginia","pop",1200,119,9916.66666666667
"48039","Brazoria","Texas","pop",19500,14574,74738.4615384615
"48041","Brazos","Texas","pop",14000,11185,79892.8571428571
"21025","Breathitt","Kentucky","pop",1700,374,22000
"21027","Breckinridge","Kentucky","pop",2100,448,21333.3333333333
"19017","Bremer","Iowa","pop",4100,1984,48390.243902439
"12009","Brevard","Florida","pop",34000,15744,46305.8823529412
"48043","Brewster","Texas","pop",750,708,94400
"48045","Briscoe","Texas","pop",400,40,10000
"25005","Bristol","Massachusetts","pop",39500,20021,50686.0759493671
"44001","Bristol","Rhode Island","pop",4300,1244,28930.2325581395
"30007","Broadwater","Montana","pop",600,197,32833.3333333333
"54009","Brooke","West Virginia","pop",2200,682,31000
"46011","Brookings","South Dakota","pop",4000,2461,61525
"13027","Brooks","Georgia","pop",1200,686,57166.6666666667
"48047","Brooks","Texas","pop",550,410,74545.4545454545
"36007","Broome","New York","pop",18000,5448,30266.6666666667
"08014","Broomfield","Colorado","pop",5700,2087,36614.0350877193
"12011","Broward","Florida","pop",106000,108325,102193.396226415
"17009","Brown","Illinois","pop",950,330,34736.8421052632
"18013","Brown","Indiana","pop",1300,394,30307.6923076923
"20013","Brown","Kansas","pop",2300,760,33043.4782608696
"27015","Brown","Minnesota","pop",5400,1472,27259.2592592593
"31017","Brown","Nebraska","pop",500,165,33000
"39015","Brown","Ohio","pop",4000,1181,29525
"46013","Brown","South Dakota","pop",3800,3657,96236.8421052632
"48049","Brown","Texas","pop",3900,1772,45435.8974358974
"55009","Brown","Wisconsin","pop",23000,23512,102226.086956522
"46015","Brule","South Dakota","pop",900,570,63333.3333333333
"37019","Brunswick","North Carolina","pop",10000,3068,30680
"51025","Brunswick","Virginia","pop",1700,474,27882.3529411765
"13029","Bryan","Georgia","pop",2400,1522,63416.6666666667
"40013","Bryan","Oklahoma","pop",6500,2824,43446.1538461538
"19019","Buchanan","Iowa","pop",3400,1209,35558.8235294118
"29021","Buchanan","Missouri","pop",8100,6273,77444.4444444445
"51027","Buchanan","Virginia","pop",1800,431,23944.4444444444
"51029","Buckingham","Virginia","pop",1700,900,52941.1764705882
"42017","Bucks","Pennsylvania","pop",53500,17936,33525.2336448598
"19021","Buena Vista","Iowa","pop",3400,3092,90941.1764705882
"31019","Buffalo","Nebraska","pop",6100,3648,59803.2786885246
"46017","Buffalo","South Dakota","pop",550,378,68727.2727272727
"55011","Buffalo","Wisconsin","pop",5200,833,16019.2307692308
"21029","Bullitt","Kentucky","pop",6700,2953,44074.6268656716
"13031","Bulloch","Georgia","pop",5100,3780,74117.6470588235
"01011","Bullock","Alabama","pop",600,701,116833.333333333
"37021","Buncombe","North Carolina","pop",17000,5713,33605.8823529412
"17011","Bureau","Illinois","pop",6900,2163,31347.8260869565
"13033","Burke","Georgia","pop",1800,1257,69833.3333333333
"37023","Burke","North Carolina","pop",6800,4026,59205.8823529412
"38013","Burke","North Dakota","pop",750,179,23866.6666666667
"38015","Burleigh","North Dakota","pop",8700,12036,138344.827586207
"48051","Burleson","Texas","pop",1300,669,51461.5384615385
"34005","Burlington","New Jersey","pop",38500,14061,36522.0779220779
"48053","Burnet","Texas","pop",2700,1434,53111.1111111111
"55013","Burnett","Wisconsin","pop",6000,857,14283.3333333333
"31021","Burt","Nebraska","pop",1700,440,25882.3529411765
"01013","Butler","Alabama","pop",1900,1186,62421.0526315789
"19023","Butler","Iowa","pop",3300,1046,31696.9696969697
"20015","Butler","Kansas","pop",6700,3468,51761.1940298507
"21031","Butler","Kentucky","pop",1400,609,43500
"29023","Butler","Missouri","pop",3000,2209,73633.3333333333
"31023","Butler","Nebraska","pop",1900,591,31105.2631578947
"39017","Butler","Ohio","pop",28000,16902,60364.2857142857
"42019","Butler","Pennsylvania","pop",23500,4665,19851.0638297872
"06007","Butte","California","pop",17500,4195,23971.4285714286
"16023","Butte","Idaho","pop",500,125,25000
"46019","Butte","South Dakota","pop",800,730,91250
"13035","Butts","Georgia","pop",1700,1103,64882.3529411765
"37025","Cabarrus","North Carolina","pop",12500,7116,56928
"54011","Cabell","West Virginia","pop",7300,2956,40493.1506849315
"49005","Cache","Utah","pop",13500,7920,58666.6666666667
"40015","Caddo","Oklahoma","pop",6100,1949,31950.8196721311
