"","Date","City","State","Shape","Duration","Description","Posted","lat","long"
"1",2019-01-31 21:00:00,"Las Vegas","NV","Light","10 minutes","Pink light in sky making light orbs you could only see flying in the clouds.",2019-02-01,36.1672559,-115.1485163
"2",2019-01-31 20:27:00,"Lumpkin","GA","Other","Not sure","Unidentifiable shape hovering over field in Lumpkin, GA.",2019-02-01,32.0509895,-84.7990901
"3",2019-01-31 20:03:00,"Winterhaven","CA","Circle","2-3 seconds","Bright white round with white/orange sparks tail disapeared over the Yuma Proving Grounds airport.",2019-02-22,32.7396688,-114.6351955
"4",2019-01-31 18:00:00,"Hollywood","CA","Circle","6 minutes","Circular red object with green flashing light performs dazzling maneuvers over Hollywood. ((NUFORC Note: Drone display. PD))",2019-02-01,34.0980031,-118.329523
"5",2019-01-31 18:00:00,"Albany","OR","Fireball","20 minutes","Was outside having a smoke while I had seen looking to the sky to the east its already dark. They started shooting up one by one almost",2019-02-01,44.6365071,-123.1059324
"6",2019-01-31 04:30:00,"Seattle","WA","Circle","5 minutes","Bright blue orb.",2019-02-01,47.6038321,-122.3300624
"7",2019-01-30 23:45:00,"Webster","NY","Cylinder","45-60 seconds","Craft spotted over Lake Ontario.",2019-02-07,43.2362833,-77.4525046140905
"8",2019-01-30 20:05:00,"Smyrna","TN","Sphere","15 minutes","Pulsing colored object performing incredible maneuvers",2020-02-07,35.9828413,-86.5186045
"9",2019-01-30 19:00:00,"Spokane","WA","Unknown","continuous","Spokane, WA, lights. ((NUFORC Note: Possibly a planet or ""twinkling"" star?? PD))",2019-02-01,47.6571934,-117.4235106
"10",2019-01-30 11:20:00,"Saratoga Springs","NY",NA,"1 minute","Clear blue sky facing north east unknown object appeared in photo upstate NY",2019-02-01,43.0821793,-73.7853915
"11",2019-01-30 07:10:00,"Snohomish","WA","Light","10 minutes now","Two stationary dots in the vicinity of the moon. ((NUFORC Note: Planets, Venus and Jupiter?? PD))",2019-02-01,47.9180275,-122.0899646
"12",2019-01-30 06:00:00,"Baltimore","MD","Triangle","<1 minute","3 distinct objs, Solid white lights, in Triangle formation, traveling same speed. At high alt. traveling NE above city. ((anonymous))",2019-02-01,39.2908816,-76.610759
"13",2019-01-30 05:30:00,"Kenilworth","NJ","Light","1 minute","One star started doing figure 8's around the other star",2019-02-01,40.6760225,-74.289262
"14",2019-01-30 02:35:00,"Hilton","NY","Disk","30 minutes","Looks to be over L. Ontario, flashing light that keeps bouncing up & down & zig zagging w/ red and green lights. ((anonymous report))",2019-02-01,43.2881104,-77.7928574
"15",2019-01-30 00:08:00,"Hazle Township","PA","Unknown","10 minutes","Green lights in a line in Northern sky.",2019-02-01,NA,NA
"16",2019-01-29 23:30:00,"Sumner","WA","Light","10 minutes","I noticed 6 red lights in the nightsky, the lights were evenly spaced with a gap in between. ((anonymous report))",2019-02-07,42.8488865,-92.0970758
"17",2019-01-29 21:30:00,"Palm Bay","FL",NA,"1 hour","Straight line level, blue beams of light across the night sky.",2019-02-14,27.9591862,-80.6717409757269
"18",2019-01-29 19:40:00,"Twin Falls","ID","Light","10-20 seconds","Two amber/orange lights speed into the Northwest night sky.",2019-02-01,42.5704456,-114.4602554
"19",2019-01-29 19:02:00,"Alamogordo","NM","Circle","1 minute","I was driving near the hospital in Alamogordo New Mexico and noticed about 10 orange to red orb type ufo's. All 6 people in the car saw",2019-02-01,32.9046474,-105.941835
"20",2019-01-29 18:12:00,"Belchertown","MA","Formation",NA,"We had just parked our car on top of a hill. I pointed out what I thought was a bright white spotlight we hadn't seen on the way up.",2019-02-22,42.2846395,-72.399595
"21",2019-01-29 12:00:00,"Spring City","TN","Changing","60 seconds","STUNNING GEOMETRIC AND FREEFORM SOLID OPAQUE OBSTACLES APPEARED FROM THE GROUND, HIGHER AND HIGHER UNTIL DISAPPEARING INTO THE SKY ON",2019-02-07,35.692015,-84.8607801
"22",2019-01-29 05:35:00,"Clermont","FL","Light","90 seconds","Orange and white lights cruising eastward toward Orlando.",2019-02-01,28.5494447,-81.7728543
"23",2019-01-29 04:35:00,"Lake Forest","CA",NA,"45 minutes","4 o’clock in the morning during the week I see this light out my kitchen window. This light turned into 2 lights about two weeks ago. T",2019-02-01,33.6469261,-117.6859213
"24",2019-01-28 23:00:00,"Stokes","NC","Rectangle","15 seconds","Rectangle object observed at estimated 20000 feet with well lit interior beige lights.",2019-02-01,35.7165488,-77.2646852
"25",2019-01-28 22:00:00,"Dover","DE","Triangle","20 minutes","My boyfriend and I we’re headed is south on Route , somewhere around 10 p.m., just a few miles past Dover Air Force Base when my boyfri",2019-02-01,39.158168,-75.5243682
"26",2019-01-28 21:35:00,"La Laguna (Tenerife)(Spain)",NA,"Other","3 minutes","Flying jellyfish that had reddish light pulses moving all along its body",2019-02-01,NA,NA
"27",2019-01-28 21:15:00,"Seattle","WA","Unknown","10 seconds","West Seattle UFO sighting 1/28 2019 9:15ish ((anonymous report))",2019-02-01,47.6038321,-122.3300624
"28",2019-01-28 21:00:00,"Chino","CA","Light","2 minutes","Orange lights over Pomona and Chino on 1-28-19.",2019-02-01,34.0133561,-117.690075
"29",2019-01-28 21:00:00,"Waterbury","CT","Light","15 minutes","Formations started to come out in 2 directions from behind a mountain. Another formation of 3 were high. ((anonymous report))",2019-02-01,41.5538091,-73.0438362
